file,layer,alpha,baseline_accuracy,intervention_accuracy,delta_accuracy,recovery_rate,regression_rate,baseline_false_count,baseline_false_intervention_correct,baseline_false_intervention_accuracy,baseline_true_count,baseline_true_intervention_correct,regressed_count
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_011_alpha_+1.json,11,1.0,0.5606694560669456,0.5983263598326359,0.03765690376569031,0.09414225941422594,0.056485355648535567,210,45,0.21428571428571427,268,241,27
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_011_alpha_-1.json,11,-1.0,0.5606694560669456,0.6485355648535565,0.08786610878661083,0.12552301255230125,0.03765690376569038,210,60,0.2857142857142857,268,250,18
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_012_alpha_+1.json,12,1.0,0.5606694560669456,0.6255230125523012,0.06485355648535562,0.10251046025104603,0.03765690376569038,210,49,0.23333333333333334,268,250,18
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_012_alpha_-1.json,12,-1.0,0.5606694560669456,0.6422594142259415,0.08158995815899583,0.11715481171548117,0.03556485355648536,210,56,0.26666666666666666,268,251,17
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_013_alpha_+1.json,13,1.0,0.5606694560669456,0.6234309623430963,0.06276150627615062,0.09623430962343096,0.03347280334728033,210,46,0.21904761904761905,268,252,16
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_013_alpha_-1.json,13,-1.0,0.5606694560669456,0.6338912133891214,0.07322175732217573,0.1087866108786611,0.03556485355648536,210,52,0.24761904761904763,268,251,17
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_014_alpha_+1.json,14,1.0,0.5606694560669456,0.604602510460251,0.043933054393305415,0.07740585774058577,0.03347280334728033,210,37,0.1761904761904762,268,252,16
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_014_alpha_-1.json,14,-1.0,0.5606694560669456,0.6255230125523012,0.06485355648535562,0.09205020920502092,0.027196652719665274,210,44,0.20952380952380953,268,255,13
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_015_alpha_+1.json,15,1.0,0.5606694560669456,0.5962343096234309,0.03556485355648531,0.06694560669456066,0.03138075313807531,210,32,0.1523809523809524,268,253,15
D:\dsmlFinalRepe\Distinguishing_Ignorance_from_Error_in_LLM_Hallucinations\experiment\type1_results\all239\result239_layer_summaries\layer_015_alpha_-1.json,15,-1.0,0.5606694560669456,0.604602510460251,0.043933054393305415,0.07322175732217573,0.029288702928870293,210,35,0.16666666666666666,268,254,14
